iteration,total_travel_time
0,2263547572
1,2263894327
2,2263863473
3,2263914953
4,2263868431
5,2263993700
6,2263826518
7,2263950129
8,2263783534
9,2263613611
10,2263535261
11,2263752187
12,2263703727
13,2263671877
14,2263256570
15,2263248054
16,2263253718
17,2263258125
18,2263374327
19,2263345842
20,2263223224
21,2262808252
22,2262734139
23,2262778221
24,2262789334
25,2262868213
26,2263254922
27,2262826425
28,2263062193
29,2263221330
30,2263155363
31,2263961414
32,2264119711
33,2264000254
34,2264073044
35,2263946975
36,2263837273
37,2263840351
38,2263569126
39,2263793795
40,2263564225
41,2263521261
42,2263516678
43,2263473628
44,2263569562
45,2263648612
46,2263241761
47,2263420421
48,2263602629
49,2264241635
50,2264331071
51,2264468540
52,2264319044
53,2264954825
54,2264573301
55,2264233550
56,2264383934
57,2264533035
58,2264300952
59,2263905710
60,2263784836
61,2263480495
62,2263736133
63,2264104194
64,2264595002
65,2264501968
66,2264916632
67,2265036822
68,2265393727
69,2265584369
70,2265381352
71,2265289595
72,2265393803
73,2264764460
74,2264782608
75,2264821022
76,2264696188
77,2264501709
78,2265176625
79,2265541831
80,2265577159
81,2264852942
82,2265077441
83,2265948565
84,2265978343
85,2265477055
86,2265338980
87,2265472403
88,2265168295
89,2265480345
90,2265217178
91,2266017527
92,2265937782
93,2266069467
94,2266277137
95,2266311820
96,2265959647
97,2266476228
98,2266449014
99,2266189050
100,2266026824
101,2265946345
102,2265644195
103,2265514464
104,2265410179
105,2265341734
106,2265508618
107,2265851563
108,2266451893
109,2266788104
110,2266851631
111,2266679020
112,2265965731
113,2266177340
114,2266556820
115,2266203709
116,2267035983
117,2266522606
118,2266910955
119,2266840243
120,2266367979
121,2266285207
122,2266842177
123,2267282009
124,2267239210
